sim_time, my_robot/rail_cart_joint?0/position_1
0.245, -1.08682e-11
0.246, 1.06763e-11
0.247, 1.02753e-11
0.248, -1.12736e-11
0.249, -1.08682e-11
0.25, 1.06763e-11
0.251, 1.02753e-11
0.252, -1.12736e-11
0.253, -1.0868e-11
0.254, 1.06766e-11
0.255, 1.02756e-11
0.256, -1.12734e-11
0.257, -1.0868e-11
0.258, 1.06766e-11
0.259, 1.02756e-11
0.26, -1.12732e-11
0.261, -1.08678e-11
0.262, 1.0677e-11
0.263, 1.0276e-11
0.264, -1.12728e-11
0.265, -1.08673e-11
0.266, 1.06775e-11
0.267, 1.02764e-11
0.268, -1.12723e-11
0.269, -1.08669e-11
0.27, 1.06779e-11
0.271, 1.02769e-11
0.272, -1.12719e-11
0.273, -1.08664e-11
0.274, 1.06783e-11
0.275, 1.02773e-11
0.276, -1.12714e-11
0.277, -1.0866e-11
0.278, 1.0679e-11
0.279, 1.0278e-11
0.28, -1.12708e-11
0.281, -1.08653e-11
0.282, 1.06797e-11
0.283, 1.02787e-11
0.284, -1.12701e-11
0.285, -1.08646e-11
0.286, 1.06803e-11
0.287, 1.02793e-11
0.288, -1.12694e-11
0.289, -1.08638e-11
0.29, 1.06812e-11
0.291, 1.02802e-11
0.292, -1.12685e-11
0.293, -1.08631e-11
0.294, 1.06821e-11
0.295, 1.02811e-11
0.296, -1.12672e-11
0.297, -1.08618e-11
0.298, 1.06837e-11
0.299, 1.02827e-11
0.3, -1.12657e-11
0.301, -1.08602e-11
0.302, 1.06852e-11
0.303, 1.02844e-11
0.304, -1.12639e-11
0.305, -1.08584e-11
0.306, 1.0687e-11
0.307, 1.02862e-11
0.308, -1.12621e-11
0.309, -1.08569e-11
0.31, 1.06886e-11
0.311, 1.02878e-11
0.312, -1.12605e-11
0.313, -1.08553e-11
0.314, 1.06901e-11
0.315, 1.02893e-11
0.316, -1.1259e-11
0.317, -1.08538e-11
0.318, 1.06917e-11
0.319, 1.02907e-11
0.32, -1.12577e-11
0.321, -1.08522e-11
0.322, 1.06932e-11
0.323, 1.02922e-11
0.324, -1.12561e-11
0.325, -1.08507e-11
0.326, 1.06948e-11
0.327, 1.02938e-11
0.328, -1.12543e-11
0.329, -1.08489e-11
0.33, 1.06966e-11
0.331, 1.02955e-11
0.332, -1.12526e-11
0.333, -1.08471e-11
0.334, 1.06988e-11
0.335, 1.0298e-11
0.336, -1.12501e-11
0.337, -1.08447e-11
0.338, 1.07012e-11
0.339, 1.03004e-11
0.34, -1.12477e-11
0.341, -1.08422e-11
0.342, 1.07037e-11
0.343, 1.03029e-11
0.344, -1.12452e-11
0.345, -1.08398e-11
0.346, 1.07061e-11
0.347, 1.03053e-11
0.348, -1.12428e-11
0.349, -1.08373e-11
0.35, 1.07085e-11
0.351, 1.03078e-11
0.352, -1.12401e-11
0.353, -1.08347e-11
0.354, 1.07112e-11
0.355, 1.03104e-11
0.356, -1.12375e-11
0.357, -1.08318e-11
0.358, 1.07141e-11
0.359, 1.03133e-11
0.36, -1.12346e-11
0.361, -1.08289e-11
0.362, 1.0717e-11
0.363, 1.03162e-11
0.364, -1.12315e-11
0.365, -1.08258e-11
0.366, 1.07203e-11
0.367, 1.03195e-11
0.368, -1.12281e-11
0.369, -1.08225e-11
0.37, 1.07236e-11
0.371, 1.03231e-11
0.372, -1.12246e-11
0.373, -1.08191e-11
0.374, 1.0727e-11
0.375, 1.03264e-11
0.376, -1.12212e-11
0.377, -1.08158e-11
0.378, 1.07303e-11
0.379, 1.03297e-11
0.38, -1.12179e-11
0.381, -1.08125e-11
0.382, 1.07336e-11
0.383, 1.03328e-11
0.384, -1.12148e-11
0.385, -1.08094e-11
0.386, 1.07367e-11
0.387, 1.0336e-11
0.388, -1.12117e-11
0.389, -1.0806e-11
0.39, 1.07401e-11
0.391, 1.03393e-11
0.392, -1.12084e-11
