sim_time, my_robot/cart?world_linear_velocity/x_1
0.245, 3.60138e-11
0.246, 1.42576e-11
0.247, -3.61742e-11
0.248, -1.42015e-11
0.249, 3.60398e-11
0.25, 1.42872e-11
0.251, -3.61482e-11
0.252, -1.41795e-11
0.253, 3.60734e-11
0.254, 1.43091e-11
0.255, -3.61222e-11
0.256, -1.41538e-11
0.257, 3.60956e-11
0.258, 1.43348e-11
0.259, -3.60923e-11
0.26, -1.41204e-11
0.261, 3.61216e-11
0.262, 1.43643e-11
0.263, -3.6074e-11
0.264, -1.40986e-11
0.265, 3.61476e-11
0.266, 1.439e-11
0.267, -3.60442e-11
0.268, -1.40806e-11
0.269, 3.6166e-11
0.27, 1.4408e-11
0.271, -3.60219e-11
0.272, -1.40511e-11
0.273, 3.61958e-11
0.274, 1.44336e-11
0.275, -3.59959e-11
0.276, -1.40293e-11
0.277, 3.6218e-11
0.278, 1.44592e-11
0.279, -3.59699e-11
0.28, -1.40036e-11
0.281, 3.62517e-11
0.282, 1.44887e-11
0.283, -3.59401e-11
0.284, -1.39741e-11
0.285, 3.62776e-11
0.286, 1.45182e-11
0.287, -3.59102e-11
0.288, -1.39408e-11
0.289, 3.63036e-11
0.29, 1.45439e-11
0.291, -3.58843e-11
0.292, -1.39228e-11
0.293, 3.63334e-11
0.294, 1.45657e-11
0.295, -3.58621e-11
0.296, -1.38932e-11
0.297, 3.63517e-11
0.298, 1.45953e-11
0.299, -3.58362e-11
0.3, -1.38714e-11
0.301, 3.63776e-11
0.302, 1.46173e-11
0.303, -3.58103e-11
0.304, -1.38456e-11
0.305, 3.63997e-11
0.306, 1.4643e-11
0.307, -3.57844e-11
0.308, -1.38238e-11
0.309, 3.64255e-11
0.31, 1.46686e-11
0.311, -3.57623e-11
0.312, -1.37942e-11
0.313, 3.64553e-11
0.314, 1.46943e-11
0.315, -3.57326e-11
0.316, -1.37648e-11
0.317, 3.64851e-11
0.318, 1.47237e-11
0.319, -3.57066e-11
0.32, -1.37392e-11
0.321, 3.65149e-11
