sim_time, my_robot/rail_cart_joint?0/position
6.214, -3.34512e-09
6.215, -3.3521e-09
6.216, -3.38024e-09
6.217, -3.38644e-09
6.218, -3.37151e-09
6.219, -3.37855e-09
6.22, -3.40674e-09
6.221, -3.41299e-09
6.222, -3.39811e-09
6.223, -3.4052e-09
6.224, -3.43344e-09
6.225, -3.43974e-09
6.226, -3.42492e-09
6.227, -3.43205e-09
6.228, -3.46034e-09
6.229, -3.4667e-09
6.23, -3.45193e-09
6.231, -3.45911e-09
6.232, -3.48746e-09
6.233, -3.49387e-09
6.234, -3.47914e-09
6.235, -3.48638e-09
6.236, -3.51478e-09
6.237, -3.52124e-09
6.238, -3.50657e-09
6.239, -3.51386e-09
6.24, -3.54231e-09
6.241, -3.54883e-09
6.242, -3.53421e-09
6.243, -3.54155e-09
6.244, -3.57006e-09
6.245, -3.57662e-09
6.246, -3.56206e-09
6.247, -3.56946e-09
6.248, -3.59802e-09
6.249, -3.60463e-09
6.25, -3.59013e-09
6.251, -3.59758e-09
6.252, -3.62619e-09
6.253, -3.63286e-09
6.254, -3.61841e-09
6.255, -3.62591e-09
6.256, -3.65458e-09
6.257, -3.66131e-09
6.258, -3.6469e-09
6.259, -3.65447e-09
6.26, -3.68319e-09
6.261, -3.68997e-09
6.262, -3.67562e-09
6.263, -3.68324e-09
6.264, -3.71201e-09
6.265, -3.71885e-09
6.266, -3.70456e-09
6.267, -3.71223e-09
6.268, -3.74106e-09
6.269, -3.74796e-09
6.27, -3.73372e-09
6.271, -3.74145e-09
6.272, -3.77034e-09
6.273, -3.77729e-09
6.274, -3.76311e-09
6.275, -3.77089e-09
6.276, -3.79983e-09
6.277, -3.80684e-09
6.278, -3.79272e-09
6.279, -3.80056e-09
6.28, -3.82956e-09
6.281, -3.83662e-09
6.282, -3.82256e-09
6.283, -3.83046e-09
6.284, -3.85951e-09
6.285, -3.86663e-09
6.286, -3.85263e-09
6.287, -3.86058e-09
6.288, -3.8897e-09
6.289, -3.89687e-09
6.29, -3.88292e-09
6.291, -3.89094e-09
6.292, -3.92011e-09
6.293, -3.92735e-09
6.294, -3.91346e-09
6.295, -3.92153e-09
6.296, -3.95076e-09
6.297, -3.95806e-09
6.298, -3.94422e-09
6.299, -3.95236e-09
6.3, -3.98165e-09
6.301, -3.989e-09
6.302, -3.97523e-09
6.303, -3.98342e-09
6.304, -4.01277e-09
6.305, -4.02018e-09
6.306, -4.00647e-09
6.307, -4.01472e-09
6.308, -4.04413e-09
6.309, -4.05161e-09
6.31, -4.03795e-09
6.311, -4.04626e-09
6.312, -4.07573e-09
6.313, -4.08327e-09
6.314, -4.06968e-09
6.315, -4.07805e-09
6.316, -4.10758e-09
6.317, -4.11518e-09
6.318, -4.10165e-09
6.319, -4.11008e-09
6.32, -4.13967e-09
6.321, -4.14733e-09
6.322, -4.13386e-09
6.323, -4.14235e-09
6.324, -4.17201e-09
6.325, -4.17973e-09
6.326, -4.16632e-09
6.327, -4.17488e-09
6.328, -4.2046e-09
6.329, -4.21238e-09
6.33, -4.19903e-09
6.331, -4.20765e-09
6.332, -4.23743e-09
6.333, -4.24528e-09
6.334, -4.232e-09
6.335, -4.24068e-09
6.336, -4.27052e-09
6.337, -4.27843e-09
6.338, -4.26521e-09
6.339, -4.27396e-09
6.34, -4.30387e-09
6.341, -4.31184e-09
6.342, -4.29868e-09
6.343, -4.30749e-09
6.344, -4.33746e-09
6.345, -4.3455e-09
6.346, -4.33241e-09
6.347, -4.34129e-09
6.348, -4.37132e-09
6.349, -4.37942e-09
6.35, -4.3664e-09
6.351, -4.37534e-09
6.352, -4.40544e-09
6.353, -4.41361e-09
6.354, -4.40065e-09
6.355, -4.40965e-09
6.356, -4.43982e-09
6.357, -4.44805e-09
6.358, -4.43516e-09
6.359, -4.44423e-09
6.36, -4.47447e-09
6.361, -4.48276e-09
6.362, -4.46994e-09
6.363, -4.47908e-09
6.364, -4.50938e-09
6.365, -4.51774e-09
6.366, -4.50498e-09
6.367, -4.51419e-09
6.368, -4.54456e-09
6.369, -4.55299e-09
6.37, -4.5403e-09
6.371, -4.54957e-09
6.372, -4.58001e-09
6.373, -4.58851e-09
6.374, -4.57588e-09
6.375, -4.58522e-09
6.376, -4.61573e-09
6.377, -4.6243e-09
6.378, -4.61174e-09
6.379, -4.62115e-09
6.38, -4.65172e-09
6.381, -4.66036e-09
6.382, -4.64788e-09
6.383, -4.65735e-09
6.384, -4.688e-09
6.385, -4.6967e-09
6.386, -4.68429e-09
6.387, -4.69384e-09
6.388, -4.72455e-09
6.389, -4.73333e-09
6.39, -4.72098e-09
6.391, -4.7306e-09
6.392, -4.76138e-09
6.393, -4.77023e-09
6.394, -4.75795e-09
6.395, -4.76764e-09
6.396, -4.7985e-09
6.397, -4.80742e-09
6.398, -4.79521e-09
6.399, -4.80497e-09
6.4, -4.8359e-09
6.401, -4.84489e-09
6.402, -4.83276e-09
6.403, -4.84259e-09
6.404, -4.87359e-09
6.405, -4.88265e-09
6.406, -4.87059e-09
6.407, -4.88049e-09
6.408, -4.91156e-09
6.409, -4.9207e-09
6.41, -4.90871e-09
6.411, -4.91869e-09
6.412, -4.94983e-09
6.413, -4.95904e-09
6.414, -4.94713e-09
6.415, -4.95718e-09
6.416, -4.9884e-09
6.417, -4.99768e-09
6.418, -4.98584e-09
6.419, -4.99596e-09
6.42, -5.02725e-09
6.421, -5.03661e-09
6.422, -5.02485e-09
6.423, -5.03505e-09
6.424, -5.06641e-09
6.425, -5.07585e-09
6.426, -5.06415e-09
6.427, -5.07443e-09
6.428, -5.10587e-09
6.429, -5.11538e-09
6.43, -5.10376e-09
6.431, -5.11412e-09
6.432, -5.14563e-09
6.433, -5.15522e-09
6.434, -5.14368e-09
6.435, -5.15411e-09
6.436, -5.1857e-09
6.437, -5.19536e-09
6.438, -5.1839e-09
6.439, -5.19441e-09
6.44, -5.22608e-09
6.441, -5.23581e-09
6.442, -5.22443e-09
6.443, -5.23501e-09
6.444, -5.26676e-09
6.445, -5.27658e-09
6.446, -5.26527e-09
6.447, -5.27593e-09
6.448, -5.30776e-09
6.449, -5.31765e-09
6.45, -5.30643e-09
6.451, -5.31717e-09
6.452, -5.34907e-09
6.453, -5.35905e-09
6.454, -5.3479e-09
6.455, -5.35872e-09
6.456, -5.3907e-09
6.457, -5.40076e-09
6.458, -5.38969e-09
6.459, -5.40059e-09
6.46, -5.43265e-09
6.461, -5.44279e-09
6.462, -5.4318e-09
6.463, -5.44278e-09
6.464, -5.47492e-09
6.465, -5.48514e-09
6.466, -5.47423e-09
6.467, -5.48529e-09
6.468, -5.51752e-09
6.469, -5.52782e-09
6.47, -5.51699e-09
6.471, -5.52813e-09
6.472, -5.56044e-09
6.473, -5.57082e-09
6.474, -5.56008e-09
6.475, -5.57131e-09
6.476, -5.6037e-09
6.477, -5.61416e-09
6.478, -5.6035e-09
6.479, -5.61481e-09
6.48, -5.64728e-09
6.481, -5.65783e-09
6.482, -5.64725e-09
6.483, -5.65864e-09
6.484, -5.6912e-09
6.485, -5.70183e-09
6.486, -5.69134e-09
6.487, -5.70282e-09
6.488, -5.73546e-09
6.489, -5.74617e-09
6.49, -5.73577e-09
6.491, -5.74733e-09
