sim_time, my_robot/rail_cart_joint?0/velocity
6.245, -6.52643e-09
6.246, 1.07221e-08
6.247, -7.43762e-09
6.248, -2.47159e-08
6.249, -6.58003e-09
6.25, 1.06684e-08
6.251, -7.49143e-09
6.252, -2.47698e-08
6.253, -6.63405e-09
6.254, 1.06143e-08
6.255, -7.54565e-09
6.256, -2.48241e-08
6.257, -6.68848e-09
6.258, 1.05597e-08
6.259, -7.60028e-09
6.26, -2.48788e-08
6.261, -6.74332e-09
6.262, 1.05048e-08
6.263, -7.65534e-09
6.264, -2.4934e-08
6.265, -6.79859e-09
6.266, 1.04494e-08
6.267, -7.71082e-09
6.268, -2.49896e-08
6.269, -6.85428e-09
6.27, 1.03936e-08
6.271, -7.76672e-09
6.272, -2.50456e-08
6.273, -6.91039e-09
6.274, 1.03374e-08
6.275, -7.82305e-09
6.276, -2.5102e-08
6.277, -6.96694e-09
6.278, 1.02807e-08
6.279, -7.87981e-09
6.28, -2.51589e-08
6.281, -7.02392e-09
6.282, 1.02237e-08
6.283, -7.93701e-09
6.284, -2.52162e-08
6.285, -7.08133e-09
6.286, 1.01661e-08
6.287, -7.99464e-09
6.288, -2.5274e-08
6.289, -7.13919e-09
6.29, 1.01082e-08
6.291, -8.05272e-09
6.292, -2.53321e-08
6.293, -7.19749e-09
6.294, 1.00498e-08
6.295, -8.11124e-09
6.296, -2.53908e-08
6.297, -7.25623e-09
6.298, 9.9909e-09
6.299, -8.17022e-09
6.3, -2.54499e-08
6.301, -7.31542e-09
6.302, 9.9316e-09
6.303, -8.22963e-09
6.304, -2.55094e-08
6.305, -7.37507e-09
6.306, 9.87184e-09
6.307, -8.2895e-09
6.308, -2.55694e-08
6.309, -7.43517e-09
6.31, 9.81162e-09
6.311, -8.34984e-09
6.312, -2.56298e-08
6.313, -7.49574e-09
6.314, 9.75094e-09
6.315, -8.41064e-09
6.316, -2.56907e-08
6.317, -7.55677e-09
6.318, 9.68979e-09
6.319, -8.4719e-09
6.32, -2.57521e-08
6.321, -7.61826e-09
6.322, 9.62818e-09
6.323, -8.53363e-09
6.324, -2.5814e-08
6.325, -7.68023e-09
6.326, 9.56609e-09
6.327, -8.59583e-09
6.328, -2.58763e-08
6.329, -7.74266e-09
6.33, 9.50354e-09
6.331, -8.65851e-09
6.332, -2.59391e-08
6.333, -7.80559e-09
6.334, 9.4405e-09
6.335, -8.72167e-09
6.336, -2.60024e-08
6.337, -7.86899e-09
6.338, 9.37697e-09
6.339, -8.78532e-09
6.34, -2.60661e-08
6.341, -7.93288e-09
6.342, 9.31296e-09
6.343, -8.84944e-09
6.344, -2.61304e-08
6.345, -7.99725e-09
6.346, 9.24847e-09
6.347, -8.91406e-09
6.348, -2.61951e-08
6.349, -8.06212e-09
6.35, 9.18348e-09
6.351, -8.97918e-09
6.352, -2.62604e-08
6.353, -8.12749e-09
6.354, 9.11799e-09
6.355, -9.04479e-09
6.356, -2.63261e-08
6.357, -8.19335e-09
6.358, 9.05199e-09
6.359, -9.11091e-09
6.36, -2.63924e-08
6.361, -8.25972e-09
6.362, 8.98549e-09
6.363, -9.17754e-09
6.364, -2.64591e-08
6.365, -8.3266e-09
6.366, 8.91849e-09
6.367, -9.24467e-09
6.368, -2.65264e-08
6.369, -8.39399e-09
6.37, 8.85097e-09
6.371, -9.31232e-09
6.372, -2.65941e-08
6.373, -8.46189e-09
6.374, 8.78293e-09
6.375, -9.38048e-09
6.376, -2.66624e-08
6.377, -8.53032e-09
6.378, 8.71438e-09
6.379, -9.44917e-09
6.38, -2.67313e-08
6.381, -8.59928e-09
6.382, 8.6453e-09
6.383, -9.51839e-09
6.384, -2.68006e-08
6.385, -8.66875e-09
6.386, 8.57569e-09
6.387, -9.58813e-09
6.388, -2.68705e-08
6.389, -8.73876e-09
6.39, 8.50554e-09
6.391, -9.65841e-09
6.392, -2.69409e-08
6.393, -8.80931e-09
6.394, 8.43486e-09
6.395, -9.72922e-09
6.396, -2.70118e-08
6.397, -8.8804e-09
6.398, 8.36364e-09
6.399, -9.80058e-09
6.4, -2.70833e-08
6.401, -8.95203e-09
6.402, 8.29187e-09
6.403, -9.87249e-09
6.404, -2.71554e-08
6.405, -9.02421e-09
6.406, 8.21955e-09
6.407, -9.94494e-09
6.408, -2.7228e-08
6.409, -9.09694e-09
6.41, 8.14668e-09
6.411, -1.0018e-08
6.412, -2.73011e-08
6.413, -9.17023e-09
6.414, 8.07325e-09
6.415, -1.00915e-08
6.416, -2.73748e-08
6.417, -9.24408e-09
6.418, 7.99926e-09
6.419, -1.01657e-08
6.42, -2.74491e-08
6.421, -9.3185e-09
6.422, 7.9247e-09
6.423, -1.02404e-08
6.424, -2.7524e-08
6.425, -9.39348e-09
6.426, 7.84957e-09
6.427, -1.03156e-08
6.428, -2.75994e-08
6.429, -9.46904e-09
6.43, 7.77386e-09
6.431, -1.03915e-08
6.432, -2.76754e-08
6.433, -9.54518e-09
6.434, 7.69758e-09
6.435, -1.04679e-08
6.436, -2.77519e-08
6.437, -9.6219e-09
6.438, 7.62072e-09
6.439, -1.05449e-08
6.44, -2.78291e-08
6.441, -9.69921e-09
6.442, 7.54326e-09
6.443, -1.06225e-08
6.444, -2.79068e-08
6.445, -9.77711e-09
6.446, 7.46522e-09
6.447, -1.07007e-08
6.448, -2.79852e-08
6.449, -9.85561e-09
6.45, 7.38657e-09
6.451, -1.07795e-08
6.452, -2.80641e-08
6.453, -9.93471e-09
6.454, 7.30731e-09
6.455, -1.08589e-08
6.456, -2.81437e-08
6.457, -1.00144e-08
6.458, 7.22746e-09
6.459, -1.09389e-08
6.46, -2.82239e-08
6.461, -1.00947e-08
6.462, 7.14699e-09
6.463, -1.10196e-08
6.464, -2.83046e-08
6.465, -1.01757e-08
6.466, 7.06589e-09
6.467, -1.11008e-08
6.468, -2.8386e-08
6.469, -1.02572e-08
6.47, 6.9842e-09
6.471, -1.11827e-08
6.472, -2.84681e-08
6.473, -1.03394e-08
6.474, 6.90187e-09
6.475, -1.12651e-08
6.476, -2.85507e-08
6.477, -1.04222e-08
6.478, 6.81891e-09
6.479, -1.13483e-08
6.48, -2.8634e-08
6.481, -1.05056e-08
6.482, 6.73531e-09
6.483, -1.1432e-08
6.484, -2.87179e-08
6.485, -1.05897e-08
6.486, 6.65107e-09
6.487, -1.15164e-08
6.488, -2.88024e-08
6.489, -1.06744e-08
6.49, 6.5662e-09
6.491, -1.16015e-08
6.492, -2.88876e-08
6.493, -1.07598e-08
6.494, 6.48067e-09
6.495, -1.16871e-08
6.496, -2.89735e-08
6.497, -1.08458e-08
6.498, 6.39448e-09
6.499, -1.17735e-08
6.5, -2.906e-08
6.501, -1.09325e-08
6.502, 6.30763e-09
6.503, -1.18605e-08
6.504, -2.91472e-08
6.505, -1.10198e-08
6.506, 6.22012e-09
6.507, -1.19482e-08
6.508, -2.9235e-08
6.509, -1.11078e-08
6.51, 6.13194e-09
6.511, -1.20365e-08
6.512, -2.93236e-08
6.513, -1.11965e-08
6.514, 6.04308e-09
6.515, -1.21256e-08
6.516, -2.94128e-08
6.517, -1.12859e-08
6.518, 5.95355e-09
6.519, -1.22153e-08
6.52, -2.95026e-08
6.521, -1.13759e-08
6.522, 5.86332e-09
6.523, -1.23057e-08
6.524, -2.95932e-08
6.525, -1.14667e-08
6.526, 5.77241e-09
6.527, -1.23968e-08
6.528, -2.96845e-08
6.529, -1.15581e-08
6.53, 5.68081e-09
6.531, -1.24885e-08
6.532, -2.97764e-08
6.533, -1.16503e-08
6.534, 5.58849e-09
6.535, -1.2581e-08
6.536, -2.98691e-08
6.537, -1.17431e-08
6.538, 5.49548e-09
6.539, -1.26742e-08
6.54, -2.99625e-08
6.541, -1.18366e-08
6.542, 5.40175e-09
6.543, -1.27681e-08
6.544, -3.00565e-08
6.545, -1.19309e-08
6.546, 5.3073e-09
6.547, -1.28628e-08
6.548, -3.01514e-08
6.549, -1.20259e-08
6.55, 5.21213e-09
6.551, -1.29581e-08
6.552, -3.02469e-08
6.553, -1.21216e-08
6.554, 5.11623e-09
6.555, -1.30542e-08
