sim_time, my_robot/cart?world_linear_velocity/x
6.245, -6.93331e-09
6.246, -6.96846e-09
6.247, -7.03226e-09
6.248, -7.02373e-09
6.249, -6.98691e-09
6.25, -7.02216e-09
6.251, -7.08607e-09
6.252, -7.07765e-09
6.253, -7.04093e-09
6.254, -7.07629e-09
6.255, -7.14029e-09
6.256, -7.13198e-09
6.257, -7.09536e-09
6.258, -7.13082e-09
6.259, -7.19493e-09
6.26, -7.18671e-09
6.261, -7.1502e-09
6.262, -7.18577e-09
6.263, -7.24998e-09
6.264, -7.24188e-09
6.265, -7.20547e-09
6.266, -7.24114e-09
6.267, -7.30546e-09
6.268, -7.29747e-09
6.269, -7.26117e-09
6.27, -7.29694e-09
6.271, -7.36137e-09
6.272, -7.35348e-09
6.273, -7.31728e-09
6.274, -7.35316e-09
6.275, -7.4177e-09
6.276, -7.40991e-09
6.277, -7.37382e-09
6.278, -7.40981e-09
6.279, -7.47446e-09
6.28, -7.46678e-09
6.281, -7.4308e-09
6.282, -7.4669e-09
6.283, -7.53166e-09
6.284, -7.52408e-09
6.285, -7.48821e-09
6.286, -7.52443e-09
6.287, -7.58929e-09
6.288, -7.58183e-09
6.289, -7.54607e-09
6.29, -7.5824e-09
6.291, -7.64737e-09
6.292, -7.64002e-09
6.293, -7.60437e-09
6.294, -7.64081e-09
6.295, -7.70589e-09
6.296, -7.69865e-09
6.297, -7.66311e-09
6.298, -7.69966e-09
6.299, -7.76486e-09
6.3, -7.75773e-09
6.301, -7.7223e-09
6.302, -7.75897e-09
6.303, -7.82428e-09
6.304, -7.81727e-09
6.305, -7.78195e-09
6.306, -7.81872e-09
6.307, -7.88415e-09
6.308, -7.87725e-09
6.309, -7.84206e-09
6.31, -7.87895e-09
6.311, -7.94448e-09
6.312, -7.9377e-09
6.313, -7.90262e-09
6.314, -7.93963e-09
6.315, -8.00528e-09
6.316, -7.99862e-09
6.317, -7.96366e-09
6.318, -8.00077e-09
6.319, -8.06655e-09
6.32, -8.05999e-09
6.321, -8.02514e-09
6.322, -8.06238e-09
6.323, -8.12827e-09
6.324, -8.12183e-09
6.325, -8.08711e-09
6.326, -8.12447e-09
6.327, -8.19047e-09
6.328, -8.18416e-09
6.329, -8.14955e-09
6.33, -8.18702e-09
6.331, -8.25315e-09
6.332, -8.24696e-09
6.333, -8.21247e-09
6.334, -8.25006e-09
6.335, -8.31632e-09
6.336, -8.31024e-09
6.337, -8.27587e-09
6.338, -8.31359e-09
6.339, -8.37996e-09
6.34, -8.37401e-09
6.341, -8.33977e-09
6.342, -8.3776e-09
6.343, -8.44409e-09
6.344, -8.43826e-09
6.345, -8.40414e-09
6.346, -8.44209e-09
6.347, -8.5087e-09
6.348, -8.503e-09
6.349, -8.469e-09
6.35, -8.50708e-09
6.351, -8.57383e-09
6.352, -8.56825e-09
6.353, -8.53437e-09
6.354, -8.57257e-09
6.355, -8.63944e-09
6.356, -8.63398e-09
6.357, -8.60023e-09
6.358, -8.63857e-09
6.359, -8.70556e-09
6.36, -8.70023e-09
6.361, -8.66661e-09
6.362, -8.70507e-09
6.363, -8.77218e-09
6.364, -8.76698e-09
6.365, -8.73348e-09
6.366, -8.77207e-09
