sim_time, my_robot/rail_cart_joint?0/velocity_1
0.245, 4.44333e-10
0.246, 1.77034e-08
0.247, -4.40112e-10
0.248, -1.77077e-08
0.249, 4.4433e-10
0.25, 1.77035e-08
0.251, -4.40116e-10
0.252, -1.77077e-08
0.253, 4.44335e-10
0.254, 1.77035e-08
0.255, -4.4012e-10
0.256, -1.77077e-08
0.257, 4.4433e-10
0.258, 1.77035e-08
0.259, -4.40106e-10
0.26, -1.77076e-08
0.261, 4.44339e-10
0.262, 1.77036e-08
0.263, -4.40103e-10
0.264, -1.77076e-08
0.265, 4.44347e-10
0.266, 1.77036e-08
0.267, -4.40088e-10
0.268, -1.77075e-08
0.269, 4.44363e-10
0.27, 1.77037e-08
0.271, -4.40071e-10
0.272, -1.77075e-08
0.273, 4.44388e-10
0.274, 1.77037e-08
0.275, -4.40049e-10
0.276, -1.77074e-08
0.277, 4.44406e-10
0.278, 1.77038e-08
0.279, -4.40043e-10
0.28, -1.77074e-08
0.281, 4.44426e-10
0.282, 1.77038e-08
0.283, -4.40029e-10
0.284, -1.77073e-08
0.285, 4.44437e-10
0.286, 1.77039e-08
0.287, -4.40013e-10
0.288, -1.77073e-08
0.289, 4.44446e-10
0.29, 1.77039e-08
0.291, -4.40003e-10
0.292, -1.77072e-08
0.293, 4.44462e-10
0.294, 1.77039e-08
0.295, -4.39995e-10
0.296, -1.77072e-08
0.297, 4.44449e-10
0.298, 1.7704e-08
0.299, -4.39996e-10
0.3, -1.77072e-08
0.301, 4.44449e-10
0.302, 1.7704e-08
0.303, -4.39997e-10
0.304, -1.77071e-08
0.305, 4.44445e-10
0.306, 1.7704e-08
0.307, -4.39997e-10
0.308, -1.77071e-08
0.309, 4.44444e-10
0.31, 1.77041e-08
0.311, -4.39989e-10
0.312, -1.77071e-08
0.313, 4.4446e-10
0.314, 1.77041e-08
0.315, -4.39973e-10
0.316, -1.7707e-08
0.317, 4.44476e-10
0.318, 1.77042e-08
0.319, -4.39961e-10
0.32, -1.7707e-08
0.321, 4.44504e-10
0.322, 1.77042e-08
0.323, -4.39931e-10
0.324, -1.77069e-08
0.325, 4.44525e-10
0.326, 1.77043e-08
0.327, -4.39906e-10
0.328, -1.77069e-08
0.329, 4.4455e-10
0.33, 1.77043e-08
0.331, -4.39886e-10
0.332, -1.77068e-08
0.333, 4.4458e-10
0.334, 1.77044e-08
0.335, -4.39878e-10
0.336, -1.77068e-08
0.337, 4.44581e-10
0.338, 1.77044e-08
0.339, -4.39865e-10
0.34, -1.77067e-08
0.341, 4.44599e-10
0.342, 1.77044e-08
0.343, -4.39851e-10
0.344, -1.77067e-08
0.345, 4.44612e-10
0.346, 1.77045e-08
0.347, -4.39836e-10
0.348, -1.77066e-08
0.349, 4.44624e-10
0.35, 1.77045e-08
0.351, -4.39819e-10
0.352, -1.77066e-08
0.353, 4.44622e-10
0.354, 1.77046e-08
0.355, -4.39817e-10
0.356, -1.77066e-08
0.357, 4.44627e-10
0.358, 1.77046e-08
0.359, -4.3982e-10
0.36, -1.77066e-08
0.361, 4.4463e-10
0.362, 1.77046e-08
0.363, -4.39816e-10
0.364, -1.77065e-08
0.365, 4.44633e-10
0.366, 1.77046e-08
0.367, -4.39821e-10
0.368, -1.77065e-08
0.369, 4.44634e-10
0.37, 1.77047e-08
0.371, -4.39818e-10
0.372, -1.77065e-08
0.373, 4.44633e-10
0.374, 1.77047e-08
0.375, -4.398e-10
0.376, -1.77064e-08
0.377, 4.44648e-10
0.378, 1.77047e-08
0.379, -4.39785e-10
0.38, -1.77064e-08
0.381, 4.44662e-10
0.382, 1.77048e-08
0.383, -4.39766e-10
0.384, -1.77064e-08
0.385, 4.44694e-10
0.386, 1.77048e-08
0.387, -4.39739e-10
0.388, -1.77063e-08
0.389, 4.44725e-10
0.39, 1.77049e-08
0.391, -4.39712e-10
0.392, -1.77062e-08
0.393, 4.44747e-10
0.394, 1.77049e-08
0.395, -4.39679e-10
0.396, -1.77062e-08
0.397, 4.44761e-10
0.398, 1.7705e-08
0.399, -4.39671e-10
0.4, -1.77062e-08
0.401, 4.4479e-10
0.402, 1.7705e-08
0.403, -4.39648e-10
0.404, -1.77061e-08
0.405, 4.44814e-10
0.406, 1.77051e-08
0.407, -4.39633e-10
0.408, -1.77061e-08
0.409, 4.44832e-10
0.41, 1.77051e-08
0.411, -4.39618e-10
0.412, -1.7706e-08
0.413, 4.44845e-10
0.414, 1.77051e-08
0.415, -4.39599e-10
0.416, -1.7706e-08
0.417, 4.44867e-10
0.418, 1.77052e-08
0.419, -4.39586e-10
0.42, -1.7706e-08
0.421, 4.44882e-10
0.422, 1.77052e-08
0.423, -4.39562e-10
0.424, -1.77059e-08
0.425, 4.44889e-10
0.426, 1.77052e-08
0.427, -4.39562e-10
0.428, -1.77059e-08
0.429, 4.44901e-10
0.43, 1.77053e-08
0.431, -4.39541e-10
0.432, -1.77059e-08
0.433, 4.44902e-10
0.434, 1.77053e-08
0.435, -4.3954e-10
0.436, -1.77059e-08
0.437, 4.44906e-10
0.438, 1.77053e-08
0.439, -4.39545e-10
0.44, -1.77058e-08
0.441, 4.44911e-10
0.442, 1.77053e-08
0.443, -4.39539e-10
0.444, -1.77058e-08
0.445, 4.44924e-10
0.446, 1.77054e-08
0.447, -4.39518e-10
0.448, -1.77058e-08
0.449, 4.44929e-10
0.45, 1.77054e-08
0.451, -4.39515e-10
0.452, -1.77058e-08
0.453, 4.44934e-10
0.454, 1.77054e-08
0.455, -4.39498e-10
0.456, -1.77057e-08
0.457, 4.44955e-10
0.458, 1.77055e-08
0.459, -4.39477e-10
0.46, -1.77057e-08
0.461, 4.44976e-10
0.462, 1.77055e-08
0.463, -4.3946e-10
0.464, -1.77056e-08
0.465, 4.4499e-10
0.466, 1.77055e-08
0.467, -4.39437e-10
0.468, -1.77056e-08
0.469, 4.45006e-10
0.47, 1.77056e-08
0.471, -4.39428e-10
0.472, -1.77056e-08
0.473, 4.45032e-10
0.474, 1.77056e-08
0.475, -4.39402e-10
0.476, -1.77055e-08
0.477, 4.45063e-10
0.478, 1.77057e-08
0.479, -4.39374e-10
0.48, -1.77055e-08
0.481, 4.45084e-10
0.482, 1.77057e-08
0.483, -4.3935e-10
0.484, -1.77054e-08
0.485, 4.45114e-10
0.486, 1.77057e-08
0.487, -4.39317e-10
0.488, -1.77054e-08
0.489, 4.45143e-10
0.49, 1.77058e-08
0.491, -4.39285e-10
0.492, -1.77053e-08
0.493, 4.45164e-10
0.494, 1.77058e-08
0.495, -4.39284e-10
0.496, -1.77053e-08
0.497, 4.45186e-10
0.498, 1.77059e-08
0.499, -4.39266e-10
0.5, -1.77053e-08
0.501, 4.452e-10
0.502, 1.77059e-08
0.503, -4.39248e-10
0.504, -1.77052e-08
0.505, 4.45217e-10
0.506, 1.77059e-08
0.507, -4.39235e-10
0.508, -1.77052e-08
0.509, 4.45234e-10
0.51, 1.7706e-08
0.511, -4.39215e-10
0.512, -1.77052e-08
0.513, 4.45245e-10
0.514, 1.7706e-08
0.515, -4.392e-10
0.516, -1.77052e-08
0.517, 4.45268e-10
0.518, 1.7706e-08
0.519, -4.39178e-10
0.52, -1.77051e-08
0.521, 4.4529e-10
0.522, 1.77061e-08
0.523, -4.39159e-10
0.524, -1.77051e-08
0.525, 4.45314e-10
0.526, 1.77061e-08
0.527, -4.39135e-10
0.528, -1.7705e-08
0.529, 4.45333e-10
0.53, 1.77061e-08
0.531, -4.39119e-10
0.532, -1.7705e-08
0.533, 4.45339e-10
0.534, 1.77061e-08
0.535, -4.39109e-10
0.536, -1.7705e-08
0.537, 4.4536e-10
0.538, 1.77062e-08
0.539, -4.39092e-10
0.54, -1.7705e-08
0.541, 4.45356e-10
0.542, 1.77062e-08
0.543, -4.3909e-10
0.544, -1.77049e-08
0.545, 4.45376e-10
0.546, 1.77062e-08
0.547, -4.39069e-10
0.548, -1.77049e-08
0.549, 4.45378e-10
0.55, 1.77062e-08
0.551, -4.39066e-10
0.552, -1.77049e-08
0.553, 4.45406e-10
0.554, 1.77063e-08
0.555, -4.39038e-10
0.556, -1.77049e-08
0.557, 4.45405e-10
0.558, 1.77063e-08
0.559, -4.39037e-10
0.56, -1.77048e-08
0.561, 4.45433e-10
0.562, 1.77063e-08
0.563, -4.39016e-10
0.564, -1.77048e-08
0.565, 4.45439e-10
0.566, 1.77064e-08
0.567, -4.38993e-10
0.568, -1.77048e-08
0.569, 4.45459e-10
0.57, 1.77064e-08
0.571, -4.38974e-10
0.572, -1.77047e-08
0.573, 4.45478e-10
0.574, 1.77064e-08
0.575, -4.38954e-10
0.576, -1.77047e-08
0.577, 4.45496e-10
0.578, 1.77065e-08
0.579, -4.38938e-10
0.58, -1.77047e-08
0.581, 4.45516e-10
0.582, 1.77065e-08
0.583, -4.38918e-10
0.584, -1.77047e-08
0.585, 4.45531e-10
0.586, 1.77065e-08
0.587, -4.38897e-10
0.588, -1.77046e-08
0.589, 4.45557e-10
0.59, 1.77066e-08
0.591, -4.38874e-10
0.592, -1.77046e-08
0.593, 4.45586e-10
0.594, 1.77066e-08
0.595, -4.38841e-10
0.596, -1.77045e-08
0.597, 4.4561e-10
0.598, 1.77066e-08
0.599, -4.38824e-10
0.6, -1.77045e-08
0.601, 4.4563e-10
0.602, 1.77067e-08
0.603, -4.38801e-10
0.604, -1.77045e-08
0.605, 4.45664e-10
0.606, 1.77067e-08
0.607, -4.3877e-10
0.608, -1.77044e-08
0.609, 4.45693e-10
0.61, 1.77068e-08
0.611, -4.38737e-10
0.612, -1.77044e-08
0.613, 4.45708e-10
0.614, 1.77068e-08
0.615, -4.38719e-10
0.616, -1.77044e-08
0.617, 4.45729e-10
0.618, 1.77068e-08
0.619, -4.387e-10
0.62, -1.77043e-08
0.621, 4.45762e-10
0.622, 1.77069e-08
0.623, -4.3867e-10
0.624, -1.77043e-08
0.625, 4.45786e-10
0.626, 1.77069e-08
0.627, -4.38663e-10
0.628, -1.77043e-08
0.629, 4.45806e-10
0.63, 1.77069e-08
0.631, -4.38635e-10
0.632, -1.77042e-08
0.633, 4.4583e-10
0.634, 1.77069e-08
0.635, -4.38619e-10
0.636, -1.77042e-08
0.637, 4.45851e-10
0.638, 1.7707e-08
0.639, -4.38597e-10
0.64, -1.77042e-08
0.641, 4.45868e-10
0.642, 1.7707e-08
0.643, -4.38577e-10
0.644, -1.77041e-08
0.645, 4.45893e-10
0.646, 1.7707e-08
0.647, -4.3856e-10
0.648, -1.77041e-08
0.649, 4.45908e-10
0.65, 1.77071e-08
0.651, -4.38544e-10
0.652, -1.77041e-08
0.653, 4.45925e-10
0.654, 1.77071e-08
0.655, -4.38519e-10
0.656, -1.7704e-08
0.657, 4.45948e-10
0.658, 1.77071e-08
0.659, -4.38496e-10
0.66, -1.7704e-08
0.661, 4.45974e-10
0.662, 1.77072e-08
0.663, -4.38468e-10
0.664, -1.7704e-08
0.665, 4.45999e-10
0.666, 1.77072e-08
